epoch,train_loss,train_top1,train_top3,val_loss,val_top1,val_top3,learning_rate
1,2.966163,0.135321,0.308716,2.729175,0.171004,0.423792,0.00010181
2,2.575351,0.204587,0.450459,2.325181,0.345725,0.587361,0.00016462
3,2.283027,0.306422,0.577523,2.030961,0.401487,0.69145,0.00026079
4,1.996353,0.412844,0.695413,1.831329,0.483271,0.747212,0.00037869
5,1.764965,0.485321,0.761927,1.753579,0.486989,0.784387,0.00050401
6,1.659577,0.527523,0.774312,1.665126,0.553903,0.799257,0.00062158
7,1.514825,0.581193,0.812844,1.667561,0.498141,0.780669,0.00071714
8,1.45059,0.614679,0.827982,1.613245,0.561338,0.788104,0.00077911
9,1.348031,0.649083,0.855963,1.5315,0.587361,0.851301,0.0008
10,1.273091,0.67156,0.87156,1.608831,0.591078,0.795539,0.00079921
11,1.178994,0.696789,0.883486,1.550705,0.6171,0.810409,0.00079691
12,1.155339,0.722936,0.892661,1.478877,0.613383,0.821561,0.0007931
13,1.057726,0.76055,0.907798,1.450638,0.66171,0.828996,0.00078781
14,1.036574,0.766972,0.912385,1.551759,0.598513,0.810409,0.00078105
15,0.958437,0.797706,0.92156,1.502075,0.624535,0.810409,0.00077285
16,0.923798,0.813303,0.927064,1.4546,0.654275,0.821561,0.00076324
17,0.848325,0.840367,0.938991,1.560552,0.657993,0.832714,0.00075225
18,0.819558,0.853211,0.947706,1.431671,0.639405,0.825279,0.00073992
19,0.791869,0.862385,0.943119,1.529267,0.672862,0.832714,0.00072632
20,0.757692,0.866055,0.948624,1.485429,0.669145,0.840149,0.00071147
21,0.714613,0.889908,0.955963,1.607191,0.63197,0.840149,0.00069545
22,0.704548,0.893119,0.955963,1.469592,0.650558,0.843866,0.00067831
23,0.686436,0.893578,0.963761,1.485096,0.67658,0.840149,0.00066012
24,0.656144,0.91055,0.96422,1.480058,0.684015,0.847584,0.00064094
25,0.624524,0.92156,0.966972,1.485233,0.669145,0.840149,0.00062086
26,0.598791,0.92844,0.970642,1.507699,0.643123,0.847584,0.00059994
27,0.569613,0.938991,0.972477,1.438422,0.669145,0.866171,0.00057826
28,0.575302,0.934404,0.972477,1.453321,0.66171,0.843866,0.00055591
29,0.555282,0.94633,0.972477,1.378266,0.69145,0.851301,0.00053297
30,0.538096,0.951835,0.977982,1.41841,0.702602,0.866171,0.00050953
31,0.529956,0.951835,0.974312,1.449831,0.687732,0.862454,0.00048568
32,0.519406,0.96055,0.978899,1.413446,0.680297,0.847584,0.00046151
33,0.506897,0.96055,0.975688,1.416572,0.672862,0.855019,0.0004371
34,0.496034,0.963761,0.977064,1.399265,0.70632,0.866171,0.00041256
35,0.496281,0.963303,0.977523,1.349061,0.710037,0.866171,0.00038797
36,0.485044,0.96422,0.976147,1.37841,0.70632,0.862454,0.00036343
37,0.480712,0.966972,0.979358,1.351169,0.698885,0.858736,0.00033904
38,0.48096,0.966514,0.980275,1.414338,0.687732,0.836431,0.00031488
39,0.467415,0.966514,0.980275,1.344067,0.698885,0.866171,0.00029104
40,0.468557,0.970183,0.981193,1.377279,0.69145,0.862454,0.00026762
41,0.46625,0.970642,0.980734,1.368441,0.695167,0.866171,0.00024471
42,0.464742,0.968349,0.98211,1.343341,0.687732,0.858736,0.00022238
43,0.460159,0.972477,0.980275,1.311725,0.695167,0.866171,0.00020074
44,0.455208,0.972936,0.98211,1.308851,0.698885,0.862454,0.00017985
45,0.450892,0.972477,0.982569,1.33979,0.698885,0.873606,0.0001598
46,0.452298,0.974312,0.982569,1.356553,0.69145,0.866171,0.00014067
47,0.451681,0.972477,0.983028,1.34625,0.687732,0.877323,0.00012252
48,0.451964,0.970642,0.983945,1.339874,0.69145,0.877323,0.00010543
49,0.450365,0.972936,0.980734,1.336642,0.687732,0.873606,8.946e-05
50,0.449688,0.974312,0.983028,1.327523,0.698885,0.873606,7.467e-05
51,0.451271,0.973853,0.979817,1.335538,0.702602,0.873606,6.111e-05
52,0.446727,0.973394,0.983945,1.333341,0.70632,0.869888,4.885e-05
53,0.447805,0.972018,0.983945,1.335586,0.70632,0.869888,3.792e-05
54,0.450052,0.971101,0.979358,1.325613,0.70632,0.873606,2.836e-05
55,0.447387,0.975229,0.984862,1.330742,0.702602,0.873606,2.022e-05
56,0.447363,0.974312,0.983486,1.327926,0.702602,0.869888,1.353e-05
57,0.441451,0.973853,0.983486,1.324752,0.702602,0.869888,8.3e-06
58,0.448098,0.972936,0.980275,1.324841,0.702602,0.869888,4.56e-06
59,0.448548,0.97156,0.983028,1.325181,0.702602,0.869888,2.32e-06
60,0.447241,0.974771,0.981651,1.325244,0.698885,0.869888,1.6e-06
